,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,target
index_0,0.0,4.6,8.0,0.0,0.0,0.3,0.2,0.0,0.1,0.0,0
index_1,0.0,0.0,0.0,0.5,1.5,2.7,5.4,0.5,0.1,8.7,0
index_2,5.1,2.4,2.1,0.3,3.8,1.8,22.2,24.3,0.4,0.0,1
index_3,0.0,0.0,5.5,0.8,6.1,0.7,15.3,36.5,2.2,2.0,1
index_4,1.8,29.2,2.8,7.6,11.8,4.1,5.7,1.1,6.3,1.3,1
index_5,0.0,9.5,2.1,1.1,0.0,9.9,4.5,0.0,14.9,1.4,0
index_6,12.7,11.8,1.4,0.0,10.9,7.9,3.8,7.6,12.0,2.2,1
index_7,6.1,8.2,0.0,2.8,14.2,1.9,15.4,1.4,8.9,13.0,1
index_8,1.4,2.6,5.2,0.0,5.8,1.2,1.0,12.3,14.8,2.1,0
index_9,0.0,9.8,4.9,4.1,1.7,2.1,23.9,36.5,3.1,1.1,1
index_10,0.0,25.9,4.3,7.0,14.3,4.6,8.3,17.5,2.4,7.6,1
index_11,2.4,2.7,5.4,0.7,17.2,4.7,0.0,19.4,3.1,1.1,1
index_12,13.6,2.3,4.7,0.0,2.4,15.3,1.8,1.0,4.8,6.4,0
index_13,11.6,2.7,7.6,11.7,5.2,5.3,0.0,3.3,1.2,1.3,0
index_14,0.0,0.0,9.9,0.0,0.0,0.0,7.9,4.2,3.6,0.0,0
index_15,2.7,4.8,5.2,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0
index_16,2.5,7.8,14.4,8.9,4.9,4.9,1.1,5.9,1.2,15.4,1
index_17,9.9,2.3,0.0,1.0,2.7,2.8,14.2,0.0,1.2,9.2,0
index_18,4.2,0.0,7.3,7.1,2.6,1.1,1.6,0.0,4.2,1.1,0
index_19,3.7,9.6,5.2,2.2,1.4,5.3,3.2,4.5,0.0,2.2,0
index_20,6.7,3.5,4.4,6.2,0.0,1.3,1.2,0.0,1.0,0.0,0
index_21,0.0,4.2,6.6,1.3,2.4,1.3,10.2,3.2,2.1,1.3,0
index_22,1.2,4.6,0.0,12.4,13.6,4.3,2.2,0.0,9.0,11.0,1
index_23,2.0,0.0,2.1,1.0,0.0,1.2,0.0,7.6,5.4,2.4,0
index_24,4.0,4.8,19.3,9.7,1.0,1.8,5.4,20.0,15.4,5.6,1
index_25,4.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0
index_26,11.1,5.8,2.4,24.0,1.1,2.6,3.1,5.8,0.0,2.1,1
index_27,0.6,0.0,5.3,2.5,2.1,2.3,3.7,6.4,2.1,9.3,0
index_28,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.1,1.1,0.0,0
index_29,1.6,1.1,21.0,9.9,22.4,1.0,4.0,2.5,7.1,1.5,1
index_30,4.5,0.0,1.5,3.4,3.8,0.0,14.3,1.2,1.1,2.2,0
index_31,6.4,1.4,1.2,1.1,4.5,3.8,2.1,0.8,5.5,0.0,0
index_32,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0
index_33,0.0,0.0,0.0,1.4,1.5,43.5,6.1,0.0,0.0,0.0,0
index_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_35,0.0,0.0,2.0,14.0,0.0,12.2,3.4,3.1,2.2,0.0,0
index_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_37,0.0,0.0,0.0,11.9,0.0,0.0,12.2,2.3,4.8,9.1,0
index_38,14.5,1.4,5.1,8.2,9.1,0.0,1.1,0.0,0.0,0.5,0
index_39,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,4.8,11.4,0
index_40,1.1,6.0,2.3,8.9,0.0,1.0,0.0,0.0,0.0,0.0,0
index_41,0.0,1.9,0.0,0.0,0.0,6.7,1.0,0.0,0.0,5.3,0
index_42,15.4,0.0,0.0,0.0,0.0,1.3,14.3,2.6,0.0,2.1,0
index_43,0.0,0.0,0.0,0.0,0.0,5.0,1.5,2.0,0.0,0.0,0
index_44,0.0,17.5,18.1,18.6,4.2,3.3,0.6,0.0,22.0,5.7,1
index_45,7.5,4.1,0.0,5.1,5.2,11.2,2.2,2.3,0.0,10.7,0
index_46,0.4,0.0,0.0,0.0,2.6,0.9,0.0,9.0,17.1,5.4,0
index_47,7.9,0.0,0.0,0.0,0.0,0.0,2.1,0.0,7.6,19.7,0
index_48,5.2,1.1,3.4,2.3,0.0,4.5,1.5,0.0,0.0,5.5,0
index_49,0.0,0.0,0.0,0.0,0.5,19.3,0.0,1.8,4.4,0.0,0
index_50,7.9,1.1,0.0,1.3,5.2,6.8,9.6,1.0,1.5,0.0,0
index_51,0.0,1.7,5.6,4.5,0.6,0.0,3.1,0.6,3.5,5.7,0
index_52,21.1,13.2,2.3,0.0,0.0,2.2,4.9,0.0,10.2,1.0,0
index_53,0.0,22.7,14.5,4.2,3.8,6.4,5.1,6.8,0.0,9.5,1
index_54,9.3,2.0,0.0,3.2,0.0,0.0,0.0,1.0,3.0,1.9,0
index_55,1.7,4.5,4.5,5.0,13.2,9.5,0.0,0.0,4.7,0.7,0
index_56,1.0,4.4,1.7,1.3,10.5,5.4,15.8,0.0,10.5,2.5,0
index_57,11.3,12.2,3.0,17.7,6.9,10.0,13.9,1.0,11.1,13.5,1
index_58,2.3,8.6,3.6,1.0,2.5,1.0,12.2,18.9,4.1,0.7,0
index_59,0.6,9.2,1.4,1.6,12.1,5.6,0.0,4.2,1.0,7.9,0
index_60,2.0,0.0,0.0,2.7,1.7,2.7,1.9,2.4,14.1,7.0,0
index_61,3.9,6.1,1.2,0.0,6.1,0.0,0.0,0.0,0.0,11.2,0
index_62,0.0,0.0,4.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
index_63,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0
index_64,9.7,2.2,3.3,2.3,20.6,5.7,0.0,0.0,0.0,0.0,0
index_65,0.0,0.0,0.0,0.8,2.4,0.0,11.2,5.1,2.3,3.1,0
index_66,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_67,0.0,0.0,0.0,12.1,2.6,0.0,0.0,0.0,4.4,4.6,0
index_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,11.0,0
index_69,2.7,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0
index_70,8.6,6.2,1.0,0.0,13.2,10.0,5.7,3.2,0.0,2.5,0
index_71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_72,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,12.7,15.4,0
index_73,3.8,2.9,0.0,4.0,10.0,0.0,0.0,11.0,0.0,0.0,0
index_74,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.2,0.0,0.0,0
index_75,6.4,7.2,0.0,1.1,0.0,1.6,0.0,0.0,14.7,0.7,0
index_76,0.0,1.2,0.0,0.0,0.0,1.8,0.0,0.0,1.8,3.3,0
index_77,2.1,0.6,0.0,0.7,1.3,0.5,2.7,0.0,0.9,0.0,0
index_78,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_79,0.0,1.0,0.6,4.5,2.0,0.0,0.0,21.8,6.6,4.6,0
index_80,2.6,4.2,4.9,6.8,4.2,1.1,1.3,1.6,15.8,0.0,0
index_81,0.0,0.5,0.0,0.5,2.3,0.0,0.0,1.3,0.0,0.0,0
index_82,0.0,2.6,1.0,2.4,3.4,0.0,2.2,0.1,0.0,0.0,0
index_83,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_84,0.8,2.5,8.3,0.0,0.8,2.8,1.6,1.2,1.5,23.8,0
index_85,6.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
index_86,0.0,0.0,0.0,14.7,0.0,2.3,0.0,0.0,2.2,1.1,0
index_87,20.6,0.0,5.4,14.7,10.8,9.8,4.7,0.5,11.8,9.3,1
index_88,6.8,5.1,13.1,8.0,7.9,0.0,15.0,10.7,0.0,1.3,1
index_89,0.9,2.1,1.9,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0
index_90,0.0,0.0,0.0,3.0,1.4,1.5,0.0,1.1,3.9,0.0,0
index_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0
index_92,3.9,9.9,9.5,0.6,7.0,6.6,4.2,2.1,7.6,3.4,0
